building_id,location_rating_MIKRAT_W,location_rating_IMAGE_W,location_rating_FZ_W,location_rating_DL_W,location_rating_NASE_W_DOM,location_rating_FGFRQZ
6960,4.1,4.0,3.0,5.0,9.0,2.0
16877,2.6,1.0,4.0,3.0,3.0,1.0
1809,3.9,4.0,4.0,2.0,9.0,1.0
5845,3.9,4.1,3.0,3.0,9.0,1.0
162,3.6,3.0,3.9,3.9,9.0,1.0
7365,2.8,1.0,3.0,2.0,4.0,1.0
1781,2.7,1.1,3.0,4.0,3.0,1.0
6791,4.2,4.1,3.0,5.0,9.0,2.0
3339,3.2,3.0,4.0,4.0,1.0,1.0
582,3.8,3.9,3.9,2.1,5.0,1.0
965,2.6,3.0,3.0,1.0,6.0,1.0
1078,2.8,1.2,3.9,2.0,3.0,1.0
17196,3.5,1.1,4.1,4.9,3.0,1.0
2529,3.3,1.1,4.0,4.1,3.0,1.0
2510,2.7,1.1,3.9,4.0,1.0,1.0
1899,4.0,4.1,4.0,4.0,9.0,1.0
1741,3.9,4.0,3.0,4.9,3.0,1.0
515,2.6,1.0,4.0,3.0,1.0,1.0
712,3.9,4.0,4.0,3.0,5.0,1.0
7393,2.8,1.1,1.0,3.9,3.0,1.0
518,4.3,4.0,4.0,5.0,7.0,1.0
6617,2.9,1.1,3.0,2.0,1.0,1.0
1404,3.0,3.0,4.0,2.0,9.0,1.0
6614,2.9,1.1,3.0,2.0,1.0,1.0
1937,3.0,1.2,4.0,2.0,5.0,1.0
2838,3.6,4.0,4.0,5.0,9.0,3.0
2341,3.8,4.0,3.9,4.0,7.0,1.0
3125,4.2,4.1,5.0,4.9,9.0,1.0
615,2.3,1.2,2.1,1.0,3.0,1.0
17728,2.2,1.2,3.9,3.0,5.0,1.0
604,3.0,3.0,3.0,2.0,6.0,1.0
1366,2.9,3.0,3.1,3.0,9.0,1.0
6669,4.0,3.9,3.0,5.0,,1.0
2057,3.3,3.0,4.0,4.0,1.0,1.0
1768,2.7,1.0,4.0,4.1,3.0,1.0
6021,3.1,1.1,2.0,4.1,5.0,1.0
2144,4.4,4.0,4.0,4.0,9.0,2.0
4946,3.9,4.0,3.0,3.0,9.0,4.0
3395,2.6,1.2,3.0,4.0,2.0,1.0
3373,3.4,1.2,4.0,5.0,9.0,4.0
6318,3.2,3.1,4.0,4.1,9.0,1.0
6378,3.6,3.0,3.0,4.0,3.0,2.0
6600,2.7,1.1,3.0,2.0,4.0,1.0
1772,2.9,1.2,4.0,2.9,1.0,1.0
5013,4.2,4.0,3.0,5.0,6.0,3.0
822,3.8,4.1,4.0,4.9,8.0,2.0
5342,4.0,4.1,4.0,3.0,9.0,1.0
2533,3.4,1.1,4.0,4.1,3.0,1.0
16286,3.2,3.0,3.1,3.0,3.0,1.0
5579,2.2,1.0,3.0,1.0,1.0,1.0
2135,3.6,3.0,3.1,4.0,9.0,1.0
608,2.9,4.0,3.1,2.0,9.0,1.0
2517,3.4,4.1,4.0,2.0,9.0,1.0
6067,4.0,3.0,4.0,5.0,9.0,2.0
2043,3.4,1.1,3.9,4.1,5.0,1.0
2114,4.0,4.1,3.0,3.9,8.0,1.0
6026,2.9,3.0,2.0,4.1,8.0,1.0
497,3.3,3.0,3.9,4.0,3.0,1.0
5354,3.5,4.0,3.0,5.0,9.0,2.0
2494,3.4,3.0,4.0,1.0,9.0,1.0
87,3.4,4.1,4.0,1.0,9.0,1.0
6154,4.0,4.0,4.0,5.0,3.0,1.0
492,4.4,3.9,4.1,5.0,6.0,1.0
